### RESULTS ###
benchmark: setbrk_overhead
description: changes the heap break which requires an MPU update
run, cycles, break, break_decimal
269, 6510, 0x10009870, 268474480
270, 6510, 0x10009878, 268474488
271, 6510, 0x10009880, 268474496
272, 6510, 0x10009888, 268474504
273, 6510, 0x10009890, 268474512
274, 6510, 0x10009898, 268474520
275, 6510, 0x100098a0, 268474528
276, 6510, 0x100098a8, 268474536
277, 6510, 0x100098b0, 268474544
278, 6510, 0x100098b8, 268474552
279, 6510, 0x100098c0, 268474560
280, 6510, 0x100098c8, 268474568
281, 6510, 0x100098d0, 268474576
282, 6510, 0x100098d8, 268474584
283, 6510, 0x100098e0, 268474592
284, 6510, 0x100098e8, 268474600
285, 6510, 0x100098f0, 268474608
286, 6510, 0x100098f8, 268474616
287, 6510, 0x10009900, 268474624
288, 6510, 0x10009908, 268474632
289, 6510, 0x10009910, 268474640
290, 6510, 0x10009918, 268474648
291, 6510, 0x10009920, 268474656
292, 6510, 0x10009928, 268474664
293, 6510, 0x10009930, 268474672
294, 6510, 0x10009938, 268474680
295, 6510, 0x10009940, 268474688
296, 6510, 0x10009948, 268474696
297, 6510, 0x10009950, 268474704
298, 6510, 0x10009958, 268474712
299, 6510, 0x10009960, 268474720
300, 6510, 0x10009968, 268474728
301, 6510, 0x10009970, 268474736
302, 6510, 0x10009978, 268474744
303, 6510, 0x10009980, 268474752
304, 6510, 0x10009988, 268474760
305, 6510, 0x10009990, 268474768
306, 6510, 0x10009998, 268474776
307, 6510, 0x100099a0, 268474784
308, 6510, 0x100099a8, 268474792
309, 6510, 0x100099b0, 268474800
310, 6510, 0x100099b8, 268474808
311, 6510, 0x100099c0, 268474816
312, 6510, 0x100099c8, 268474824
313, 6510, 0x100099d0, 268474832
314, 6510, 0x100099d8, 268474840
315, 6510, 0x100099e0, 268474848
316, 6510, 0x100099e8, 268474856
317, 6510, 0x100099f0, 268474864
318, 6510, 0x100099f8, 268474872
319, 6510, 0x10009a00, 268474880
320, 6510, 0x10009a08, 268474888
321, 6510, 0x10009a10, 268474896
322, 6510, 0x10009a18, 268474904
323, 6510, 0x10009a20, 268474912
324, 6510, 0x10009a28, 268474920
325, 6510, 0x10009a30, 268474928
326, 6510, 0x10009a38, 268474936
327, 6510, 0x10009a40, 268474944
328, 6510, 0x10009a48, 268474952
329, 6510, 0x10009a50, 268474960
330, 6510, 0x10009a58, 268474968
331, 6510, 0x10009a60, 268474976
332, 6510, 0x10009a68, 268474984
333, 6510, 0x10009a70, 268474992
334, 6510, 0x10009a78, 268475000
335, 6510, 0x10009a80, 268475008
336, 6510, 0x10009a88, 268475016
337, 6510, 0x10009a90, 268475024
338, 6510, 0x10009a98, 268475032
339, 6510, 0x10009aa0, 268475040
340, 6510, 0x10009aa8, 268475048
341, 6510, 0x10009ab0, 268475056
